id_user,id_proyek,interacted
1,46869,1
1,44411,1
1,98934,1
1,46160,1
1,51000,1
1,78302,1
1,11363,1
1,7741,1
1,16237,1
1,49456,1
1,36808,1
1,94807,1
1,57022,1
1,73223,1
1,92300,1
1,76073,1
1,38399,1
1,26980,1
1,58683,1
1,23117,1
1,46834,1
1,36110,1
1,90500,1
1,89232,1
1,43462,1
1,51048,1
1,67106,1
1,1256,1
1,80361,1
1,7400,1
1,41544,1
1,76649,1
1,99397,1
1,80696,1
1,54405,1
1,34832,1
1,80592,1
1,40912,1
1,76245,1
1,73036,1
1,3212,1
1,32980,1
1,3042,1
1,77287,1
1,13815,1
1,69287,1
1,36411,1
1,80958,1
2,46562,1
2,26714,1
2,1261,1
2,98659,1
2,47871,1
2,25871,1
2,9769,1
2,19898,1
2,80854,1
2,44016,1
2,24646,1
2,39375,1
2,83622,1
2,6503,1
2,74515,1
2,94730,1
2,11203,1
2,47891,1
2,2070,1
2,12194,1
2,80087,1
2,31247,1
2,40745,1
2,19175,1
2,35498,1
2,75005,1
2,6686,1
2,49531,1
2,32757,1
2,11520,1
2,13913,1
2,6184,1
2,14849,1
2,49546,1
2,71671,1
2,94348,1
2,77230,1
2,1606,1
2,21129,1
2,52314,1
2,11217,1
2,26427,1
3,4591,1
3,14838,1
3,85295,1
3,10868,1
3,97466,1
3,45140,1
3,55029,1
3,33375,1
3,50826,1
3,50967,1
3,22494,1
3,1600,1
4,49253,1
4,74923,1
4,97224,1
4,34530,1
4,65833,1
4,2506,1
4,32584,1
4,74589,1
4,95310,1
4,92182,1
4,92263,1
4,87097,1
4,26611,1
4,91657,1
4,99272,1
4,18291,1
4,1892,1
4,9621,1
4,66724,1
4,75343,1
4,23562,1
4,77452,1
4,31120,1
4,21535,1
4,36561,1
4,8950,1
4,19647,1
4,47853,1
4,2708,1
4,395,1
4,36120,1
4,93449,1
4,16399,1
4,86574,1
4,2767,1
4,63550,1
4,5109,1
4,24047,1
4,15846,1
4,92392,1
4,8489,1
4,59057,1
4,40895,1
4,27985,1
4,94680,1
4,26280,1
4,16309,1
4,89256,1
4,89714,1
4,54794,1
4,19737,1
4,74888,1
4,58396,1
4,26866,1
4,36006,1
4,60063,1
4,31349,1
4,20388,1
4,6556,1
4,95143,1
4,1043,1
4,68562,1
4,62526,1
4,71361,1
4,99879,1
4,18804,1
5,562,1
5,2287,1
5,16495,1
5,52970,1
5,28131,1
5,85663,1
5,7054,1
5,62784,1
5,60336,1
5,35744,1
5,33827,1
5,20195,1
5,92702,1
5,38621,1
5,97175,1
5,14168,1
5,1647,1
5,84618,1
5,39755,1
5,94494,1
5,67907,1
5,25438,1
6,92090,1
6,27895,1
6,55914,1
6,74465,1
6,75862,1
6,39568,1
6,58136,1
6,38820,1
6,96630,1
6,7921,1
6,27152,1
6,32447,1
6,79239,1
6,97692,1
6,21912,1
6,16094,1
6,76195,1
6,31279,1
6,95026,1
6,30004,1
6,20732,1
6,9118,1
6,11814,1
7,22890,1
7,32951,1
7,44989,1
7,42424,1
7,77572,1
7,58707,1
7,63615,1
7,36474,1
7,91503,1
7,14909,1
7,92473,1
7,32772,1
7,15959,1
7,93145,1
7,6574,1
7,78414,1
7,81325,1
7,11888,1
7,97246,1
7,75908,1
7,7693,1
7,44452,1
7,12425,1
7,36281,1
7,73013,1
7,38770,1
7,58628,1
7,5036,1
7,32104,1
7,37552,1
7,84473,1
7,76760,1
7,42483,1
7,54387,1
7,77179,1
7,64177,1
7,55647,1
7,56750,1
7,37320,1
7,9641,1
7,5255,1
7,7169,1
7,22150,1
7,89693,1
7,50471,1
7,43614,1
7,40716,1
7,67094,1
7,53727,1
7,68121,1
7,92451,1
7,25966,1
7,48789,1
7,45508,1
7,138,1
7,5804,1
7,33427,1
7,58203,1
7,79166,1
7,61569,1
7,43794,1
7,56338,1
7,92994,1
7,28191,1
7,5372,1
7,156,1
7,46874,1
7,14677,1
7,30323,1
7,70910,1
7,84797,1
7,70230,1
8,581,1
8,86455,1
8,37165,1
8,67243,1
8,7973,1
8,2694,1
8,39865,1
8,79003,1
8,43699,1
8,9028,1
8,17933,1
8,45588,1
8,97786,1
8,72138,1
8,5217,1
8,70242,1
8,87148,1
8,97360,1
8,61934,1
8,11493,1
8,32045,1
8,76276,1
8,50854,1
8,83011,1
8,93433,1
8,51791,1
8,38317,1
8,30982,1
8,43574,1
8,40945,1
8,6524,1
8,1912,1
8,7611,1
8,6340,1
8,91720,1
8,63517,1
8,81274,1
8,8787,1
8,87772,1
8,39608,1
8,23189,1
8,94111,1
8,76890,1
8,76574,1
8,89745,1
8,26690,1
8,86756,1
8,15931,1
8,12392,1
8,4533,1
8,71330,1
8,52060,1
8,87047,1
8,86331,1
8,96614,1
8,43429,1
8,54756,1
8,86603,1
8,80867,1
8,1678,1
8,84411,1
8,46834,1
8,92353,1
8,8646,1
8,82113,1
8,61633,1
8,40707,1
8,14968,1
8,96266,1
8,16014,1
8,40126,1
8,94478,1
8,75656,1
8,10847,1
8,67079,1
8,52300,1
8,61465,1
8,60158,1
8,65007,1
8,60912,1
8,88294,1
8,84944,1
8,68218,1
8,97493,1
8,42372,1
8,60768,1
8,68471,1
8,47313,1
8,65938,1
8,5986,1
8,40495,1
8,97361,1
8,66371,1
8,39327,1
8,14006,1
8,24484,1
8,47816,1
8,6675,1
8,43258,1
8,17701,1
8,24157,1
8,24768,1
8,3242,1
8,43698,1
8,45236,1
8,12847,1
8,55670,1
8,13704,1
8,44150,1
8,4659,1
8,43801,1
8,85186,1
8,11411,1
8,34648,1
8,32875,1
8,73672,1
8,96449,1
8,3417,1
8,48493,1
8,33013,1
8,22688,1
8,34267,1
8,57208,1
8,26829,1
8,32621,1
9,80490,1
9,67527,1
9,57694,1
9,78150,1
9,76810,1
9,77062,1
9,69705,1
9,40031,1
9,88532,1
9,68686,1
9,86646,1
9,73620,1
9,81271,1
9,56591,1
9,38026,1
9,29982,1
9,36338,1
9,69237,1
9,14159,1
9,95088,1
9,38219,1
9,46710,1
9,40229,1
9,42410,1
9,53379,1
9,65026,1
9,22943,1
9,13475,1
9,36087,1
9,51352,1
9,49799,1
9,37740,1
9,11769,1
9,29909,1
9,85755,1
9,4067,1
9,27772,1
9,73866,1
9,60069,1
9,8393,1
9,90821,1
9,76466,1
9,23272,1
9,22072,1
9,93569,1
9,39681,1
9,79666,1
9,12554,1
9,52243,1
9,54604,1
9,50696,1
9,53850,1
9,96188,1
9,42907,1
9,62621,1
9,97470,1
9,21733,1
9,61526,1
9,63840,1
9,37304,1
9,2954,1
9,4313,1
9,3477,1
9,65701,1
9,54443,1
9,93494,1
9,13959,1
9,5296,1
9,99172,1
9,94532,1
9,69463,1
9,85722,1
9,54762,1
9,27118,1
9,25409,1
9,37569,1
9,27240,1
9,12605,1
9,49238,1
10,8986,1
10,3253,1
10,39102,1
10,66797,1
10,20596,1
10,39136,1
10,5121,1
10,99216,1
10,49765,1
10,80172,1
10,45129,1
10,54818,1
10,95881,1
10,69587,1
10,37319,1
10,16001,1
10,50400,1
10,12177,1
10,53346,1
10,25294,1
10,37536,1
10,44457,1
10,56043,1
10,43164,1
10,58728,1
10,22264,1
10,34919,1
10,35533,1
10,25269,1
10,2886,1
10,48416,1
10,62533,1
10,59027,1
10,99709,1
10,95886,1
10,47489,1
10,88625,1
10,75150,1
10,87965,1
10,76476,1
10,8874,1
10,2130,1
10,48737,1
10,74124,1
10,53679,1
10,330,1
10,9490,1
10,57415,1
10,14662,1
10,38799,1
10,23226,1
10,53931,1
10,91010,1
10,4532,1
10,50533,1
10,55818,1
10,73451,1
10,73416,1
10,64034,1
10,81224,1
10,45484,1
10,63710,1
10,64116,1
10,70141,1
10,17008,1
10,43069,1
10,40232,1
10,95511,1
10,21302,1
10,68382,1
10,50342,1
10,98287,1
10,78186,1
10,18514,1
10,14984,1
10,53217,1
10,52522,1
10,1207,1
10,41641,1
10,82583,1
10,34587,1
10,15717,1
10,89708,1
10,34405,1
10,41003,1
10,10404,1
10,91779,1
10,56130,1
10,48704,1
10,74640,1
10,27473,1
10,77856,1
10,51302,1
10,25350,1
10,32636,1
10,74016,1
10,91537,1
10,28316,1
10,84513,1
10,280,1
10,18286,1
10,39490,1
10,20348,1
10,14319,1
10,36620,1
10,88560,1
10,38573,1
10,81864,1
10,43946,1
10,18386,1
10,21947,1
10,35881,1
10,50999,1
10,82115,1
10,85189,1
10,10798,1
10,79160,1
10,24162,1
10,62036,1
10,66728,1
10,75607,1
10,75572,1
10,97391,1
10,87781,1
10,93135,1
10,75126,1
10,5659,1
10,44707,1
10,72222,1
10,28730,1
10,6624,1
11,12120,1
11,27153,1
11,40534,1
11,88882,1
11,92521,1
11,49934,1
11,47224,1
11,4731,1
11,36778,1
11,87306,1
11,31063,1
11,59843,1
11,23107,1
11,34530,1
11,3470,1
11,35843,1
11,42315,1
11,25362,1
11,41462,1
11,41305,1
11,29324,1
11,13164,1
11,19772,1
11,65909,1
11,54359,1
11,29484,1
11,27000,1
12,84906,1
12,11268,1
12,31319,1
12,62242,1
12,81399,1
12,80864,1
12,96622,1
12,6164,1
12,41708,1
12,80437,1
12,62361,1
12,29849,1
12,24174,1
12,69795,1
12,39608,1
12,57617,1
12,65978,1
12,47250,1
12,27104,1
12,11620,1
12,95821,1
12,51302,1
12,8076,1
12,92117,1
12,51601,1
12,20650,1
12,92509,1
12,1488,1
12,88334,1
12,67736,1
12,8299,1
12,98940,1
12,11476,1
12,39365,1
12,50018,1
12,28685,1
